Sample	ACCESSION	TAXID	SCIENTIFIC_NAME	COUNTRY	CLOSEST_CITY	CLOSEST_LOCALITY	ESTIMATED_AGE	LONGITUDE	BREED	LATITUDE	GENDER	SAMPLING_DATE	wc2.0_bio_30s_12	wc2.0_bio_30s_01	wc2.0_bio_30s_02	wc2.0_bio_30s_03	wc2.0_bio_30s_04	wc2.0_bio_30s_05	wc2.0_bio_30s_06	wc2.0_bio_30s_07	wc2.0_bio_30s_08	wc2.0_bio_30s_09	wc2.0_bio_30s_10	wc2.0_bio_30s_11	wc2.0_bio_30s_13	wc2.0_bio_30s_14	wc2.0_bio_30s_15	wc2.0_bio_30s_16	wc2.0_bio_30s_17	wc2.0_bio_30s_18	wc2.0_bio_30s_19
UGBT-C9-0150	ERS420563	30523	Bos taurus x Bos indicus	Uganda	MBARARA	Mbarara	84	30.609340	Ankole	-0.583920	female	2011	930	20.354167	12.525000	87.587411	31.655697	27.500000	13.200000	14.300000	20.416667	20.066667	20.733333	19.950000	130.000000	24.000000	45.415397	334.000000	110.000000	205.000000	123.000000
UGBT-C9-0151	ERS420564	30523	Bos taurus x Bos indicus	Uganda	MBARARA	Mbarara	60	30.609340	Ankole	-0.583920	female	2011	930	20.354167	12.525000	87.587411	31.655697	27.500000	13.200000	14.300000	20.416667	20.066667	20.733333	19.950000	130.000000	24.000000	45.415397	334.000000	110.000000	205.000000	123.000000
UGBT-C9-0153	ERS420566	30523	Bos taurus x Bos indicus	Uganda	MBARARA	Mbarara	84	30.612600	Ankole	-0.605270	female	2011	935	20.275000	12.266667	87.619042	29.962118	27.200001	13.200000	14.000001	20.333333	20.000000	20.616667	19.883333	132.000000	25.000000	45.734254	337.000000	110.000000	207.000000	121.000000
UGBT-C9-0154	ERS420567	30523	Bos taurus x Bos indicus	Uganda	MBARARA	Mbarara	96	30.612600	Ankole	-0.605270	female	2011	935	20.275000	12.266667	87.619042	29.962118	27.200001	13.200000	14.000001	20.333333	20.000000	20.616667	19.883333	132.000000	25.000000	45.734254	337.000000	110.000000	207.000000	121.000000
UGBT-C9-0155	ERS420568	30523	Bos taurus x Bos indicus	Uganda	MBARARA	Mbarara	36	30.612600	Ankole	-0.605270	female	2011	935	20.275000	12.266667	87.619042	29.962118	27.200001	13.200000	14.000001	20.333333	20.000000	20.616667	19.883333	132.000000	25.000000	45.734254	337.000000	110.000000	207.000000	121.000000
UGBT-C9-0156	ERS420569	30523	Bos taurus x Bos indicus	Uganda	MBARARA	Mbarara	96	30.612600	Ankole	-0.605270	female	2011	935	20.275000	12.266667	87.619042	29.962118	27.200001	13.200000	14.000001	20.333333	20.000000	20.616667	19.883333	132.000000	25.000000	45.734254	337.000000	110.000000	207.000000	121.000000
UGBT-D2-0359	ERS420571	30523	Bos taurus x Bos indicus	Uganda	YUMBE	KEI	108	31.128220	Small East African Zebu	3.538580	female	2011	1374	25.125000	11.266667	71.308012	151.274896	32.900002	17.100000	15.800001	23.933333	26.933333	27.183334	23.400000	193.000000	14.000000	56.141271	557.000000	69.000000	119.000000	492.000000
UGBT-D2-0360	ERS420572	30523	Bos taurus x Bos indicus	Uganda	YUMBE	KEI	120	31.128220	Small East African Zebu	3.538580	female	2011	1374	25.125000	11.266667	71.308012	151.274896	32.900002	17.100000	15.800001	23.933333	26.933333	27.183334	23.400000	193.000000	14.000000	56.141271	557.000000	69.000000	119.000000	492.000000
UGBT-D2-0361	ERS420573	30523	Bos taurus x Bos indicus	Uganda	YUMBE	KEI	84	31.128220	Small East African Zebu	3.538580	female	2011	1374	25.125000	11.266667	71.308012	151.274896	32.900002	17.100000	15.800001	23.933333	26.933333	27.183334	23.400000	193.000000	14.000000	56.141271	557.000000	69.000000	119.000000	492.000000
UGBT-D2-0362	ERS420574	30523	Bos taurus x Bos indicus	Uganda	YUMBE	KEI	120	31.134420	Small East African Zebu	3.568480	female	2011	1369	25.045833	11.175000	70.283013	156.036983	32.900002	17.000000	15.900002	23.833333	26.916667	27.166667	23.266667	195.000000	13.000000	57.049090	557.000000	65.000000	115.000000	498.000000
UGBT-D2-0363	ERS239083	30523	Bos taurus x Bos indicus	Uganda	YUMBE	KEI	108	31.134420	Small East African Zebu	3.568480	female	2011	1369	25.045833	11.175000	70.283013	156.036983	32.900002	17.000000	15.900002	23.833333	26.916667	27.166667	23.266667	195.000000	13.000000	57.049090	557.000000	65.000000	115.000000	498.000000
UGBT-D2-0364	ERS420575	30523	Bos taurus x Bos indicus	Uganda	YUMBE	KEI	120	31.134420	Small East African Zebu	3.568480	female	2011	1369	25.045833	11.175000	70.283013	156.036983	32.900002	17.000000	15.900002	23.833333	26.916667	27.166667	23.266667	195.000000	13.000000	57.049090	557.000000	65.000000	115.000000	498.000000
UGBT-D2-0365	ERS420576	30523	Bos taurus x Bos indicus	Uganda	YUMBE	KEI	72	31.134420	Small East African Zebu	3.568480	female	2011	1369	25.045833	11.175000	70.283013	156.036983	32.900002	17.000000	15.900002	23.833333	26.916667	27.166667	23.266667	195.000000	13.000000	57.049090	557.000000	65.000000	115.000000	498.000000
UGBT-D2-0366	ERS420577	30523	Bos taurus x Bos indicus	Uganda	YUMBE	MIDIGO	144	31.243680	Small East African Zebu	3.562390	female	2011	1311	25.504166	11.425000	72.310121	148.162339	33.200001	17.400000	15.800001	24.333333	27.100000	27.633333	23.950000	182.000000	12.000000	57.095228	529.000000	62.000000	107.000000	473.000000
