Sample,ACCESSION,TAXID,SCIENTIFIC_NAME,COUNTRY,CLOSEST_CITY,CLOSEST_LOCALITY,ESTIMATED_AGE,LONGITUDE,BREED,LATITUDE,GENDER,SAMPLING_DATE
UGBT-B8-0100,ERS420453,30523,Bos taurus x Bos indicus,Uganda,KASESE,MUNKUNYU,60 months,29.83887,Ankole,0.10449,female,2011-05-10
UGBT-B8-0101,ERS239084,30523,Bos taurus x Bos indicus,Uganda,KASESE,MUNKUNYU,84 months,29.83887,Nsongora,0.10449,female,2011-05-10
UGBT-B8-0102,ERS420454,30523,Bos taurus x Bos indicus,Uganda,KASESE,MUNKUNYU,84 months,29.83887,Nsongora,0.10449,female,2011-05-10
UGBT-B8-0103,ERS420455,30523,Bos taurus x Bos indicus,Uganda,KASESE,MUNKUNYU,60 months,29.83887,Nsongora,0.10449,female,2011-05-10
UGBT-B8-0104,ERS420456,30523,Bos taurus x Bos indicus,Uganda,KASESE,MUNKUNYU,60 months,29.8374,Nsongora,0.10335,female,2011-05-10
UGBT-B8-0105,ERS420457,30523,Bos taurus x Bos indicus,Uganda,KASESE,MUNKUNYU,60 months,29.8374,Ankole,0.10335,female,2011-05-10
UGBT-B8-0107,ERS420459,30523,Bos taurus x Bos indicus,Uganda,KASESE,MUNKUNYU,36 months,29.8374,Nsongora,0.10335,female,2011-05-10
UGBT-B8-0108,ERS420460,30523,Bos taurus x Bos indicus,Uganda,KASESE,MUHOKYA,96 months,30.04338,Nsongora,0.09478,female,2011-05-11
UGBT-B8-0109,ERS420461,30523,Bos taurus x Bos indicus,Uganda,KASESE,MUHOKYA,60 months,30.04338,Nsongora,0.09478,female,2011-05-11
UGBT-B8-0110,ERS420462,30523,Bos taurus x Bos indicus,Uganda,KASESE,MUHOKYA,60 months,30.04338,Nsongora,0.09478,female,2011-05-11
UGBT-B8-0111,ERS420463,30523,Bos taurus x Bos indicus,Uganda,KASESE,MUHOKYA,36 months,30.04338,Nsongora,0.09478,female,2011-05-11
UGBT-B8-0112,ERS420464,30523,Bos taurus x Bos indicus,Uganda,KASESE,MUHOKYA,192 months,30.05218,Ankole,0.05945,female,2011-05-11
UGBT-B8-0113,ERS420465,30523,Bos taurus x Bos indicus,Uganda,KASESE,MUHOKYA,144 months,30.05218,Ankole,0.05945,female,2011-05-11
UGBT-B9-0242,ERS420467,30523,Bos taurus x Bos indicus,Uganda,RUKUNGIRI,NYARUSHANZE,84 months,30.00819,Ankole,-0.91676,female,2011-06-29
UGBT-B9-0243,ERS420468,30523,Bos taurus x Bos indicus,Uganda,RUKUNGIRI,NYARUSHANZE,108 months,30.00819,Ankole,-0.91676,female,2011-06-29
UGBT-B9-0244,ERS239070,30523,Bos taurus x Bos indicus,Uganda,RUKUNGIRI,NYARUSHANZE,96 months,30.00819,Ankole,-0.91676,female,2011-06-29
UGBT-B9-0246,ERS420470,30523,Bos taurus x Bos indicus,Uganda,RUKUNGIRI,NYARUSHANZE,84 months,30.00819,Ankole,-0.91676,female,2011-06-29
UGBT-B9-0247,ERS420471,30523,Bos taurus x Bos indicus,Uganda,RUKUNGIRI,NYARUSHANZE,120 months,30.00819,Ankole,-0.91676,female,2011-06-29
UGBT-B9-0248,ERS420472,30523,Bos taurus x Bos indicus,Uganda,RUKUNGIRI,NYARUSHANZE,96 months,30.00819,Ankole,-0.91676,female,2011-06-29
UGBT-B9-0249,ERS420473,30523,Bos taurus x Bos indicus,Uganda,RUKUNGIRI,NYARUSHANZE,72 months,30.00819,Ankole,-0.91676,female,2011-06-29
UGBT-B9-0250,ERS420474,30523,Bos taurus x Bos indicus,Uganda,RUKUNGIRI,NYARUSHANZE,84 months,30.030402,Ankole,-0.97812,female,2011-06-29
UGBT-B9-0251,ERS420475,30523,Bos taurus x Bos indicus,Uganda,RUKUNGIRI,NYARUSHANZE,60 months,30.030402,Ankole,-0.97812,female,2011-06-29
UGBT-B9-0253,ERS420477,30523,Bos taurus x Bos indicus,Uganda,RUKUNGIRI,NYARUSHANZE,96 months,30.030402,Ankole,-0.97812,female,2011-06-29
UGBT-B9-0254,ERS420478,30523,Bos taurus x Bos indicus,Uganda,RUKUNGIRI,KEBISONI,48 months,30.01802,Ankole,-0.87998,female,2011-06-29
UGBT-B9-0255,ERS420479,30523,Bos taurus x Bos indicus,Uganda,RUKUNGIRI,KEBISONI,60 months,30.01802,Ankole,-0.87998,female,2011-06-29
UGBT-B9-0256,ERS420480,30523,Bos taurus x Bos indicus,Uganda,RUKUNGIRI,KEBISONI,120 months,30.01802,Ankole,-0.87998,female,2011-06-29
UGBT-C10-0209,ERS420482,30523,Bos taurus x Bos indicus,Uganda,KABALE,KAMWEZI,36 months,30.22658,Nkiga,-1.22172,female,2011-06-27
UGBT-C10-0210,ERS420483,30523,Bos taurus x Bos indicus,Uganda,KABALE,KAMWEZI,36 months,30.22658,Nkiga,-1.22172,female,2011-06-27
UGBT-C10-0211,ERS420484,30523,Bos taurus x Bos indicus,Uganda,KABALE,KAMWEZI,60 months,30.22658,Nkiga,-1.22172,female,2011-06-27
UGBT-C10-0213,ERS420486,30523,Bos taurus x Bos indicus,Uganda,KABALE,KAMWEZI,84 months,30.23534,Nkiga,-1.32242,female,2011-06-27
UGBT-C10-0214,ERS420487,30523,Bos taurus x Bos indicus,Uganda,KABALE,KAMWEZI,48 months,30.23534,Nkiga,-1.32242,female,2011-06-27
UGBT-C10-0216,ERS420489,30523,Bos taurus x Bos indicus,Uganda,KABALE,KAMWEZI,36 months,30.23534,Nkiga,-1.32242,female,2011-06-27
UGBT-C10-0217,ERS420490,30523,Bos taurus x Bos indicus,Uganda,KABALE,KAMWEZI,84 months,30.25736,Nkiga,-1.20433,female,2011-06-27
UGBT-C10-0218,ERS420491,30523,Bos taurus x Bos indicus,Uganda,KABALE,KAMWEZI,96 months,30.25736,Nkiga,-1.20433,female,2011-06-27
UGBT-C10-0219,ERS239064,30523,Bos taurus x Bos indicus,Uganda,KABALE,KAMWEZI,48 months,30.25736,Nkiga,-1.20433,female,2011-06-27
UGBT-C10-0220,ERS420492,30523,Bos taurus x Bos indicus,Uganda,KABALE,KAMWEZI,96 months,30.25736,Nkiga,-1.20433,female,2011-06-27
UGBT-C10-0221,ERS420493,30523,Bos taurus x Bos indicus,Uganda,KABALE,KAMWEZI,84 months,30.21516,Nkiga,-1.21719,female,2011-06-27
UGBT-C10-0222,ERS420494,30523,Bos taurus x Bos indicus,Uganda,KABALE,KAMWEZI,72 months,30.21516,Nkiga,-1.21719,female,2011-06-27
UGBT-C10-0223,ERS420495,30523,Bos taurus x Bos indicus,Uganda,KABALE,KAMWEZI,60 months,30.21516,Nkiga,-1.21719,female,2011-06-27
UGBT-C6-0728,ERS420499,30523,Bos taurus x Bos indicus,Uganda,NTOROKO,KARUGUTU,36 months,30.23459,East African Shorthorn Zebu,0.86187,female,2012-01-04
UGBT-C6-0729,ERS239065,30523,Bos taurus x Bos indicus,Uganda,NTOROKO,KARUGUTU,24 months,30.23459,East African Shorthorn Zebu,0.86187,female,2012-01-04
